                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.49281,                0.38278,                0.93358,                0.99306,                      1,                  0.995,                0.85541,                0.58213,                0.30371,                0.94826,              0.0014822,              0.0014822,              0.0014822
                     58,                0.48387,                0.35665,                0.92416,                0.99148,                      1,                  0.995,                0.87948,                0.57509,                0.35046,                0.94673,              0.0014789,              0.0014789,              0.0014789
                     59,                0.51179,                0.39101,                0.94071,                0.99567,                      1,                  0.995,                 0.8612,                0.57226,                0.32589,                0.93813,              0.0014756,              0.0014756,              0.0014756
                     60,                0.48332,                0.36511,                0.93005,                0.98098,                      1,                  0.995,                0.86971,                  0.572,                0.31645,                0.95636,              0.0014723,              0.0014723,              0.0014723
                     61,                0.50111,                0.38141,                0.93317,                0.99848,                0.95883,                  0.995,                0.85081,                0.60814,                0.36153,                0.96193,               0.001469,               0.001469,               0.001469
                     62,                0.48723,                0.35897,                0.93007,                0.97829,                0.99904,                  0.995,                0.87763,                 0.5932,                0.33273,                0.95965,              0.0014657,              0.0014657,              0.0014657
                     63,                0.48817,                0.36613,                0.91642,                0.99091,                      1,                  0.995,                0.87305,                0.62825,                0.32309,                0.99451,              0.0014624,              0.0014624,              0.0014624
                     64,                0.49675,                0.36959,                0.94033,                0.97906,                      1,                  0.995,                0.85855,                 0.5989,                 0.3615,                0.96986,              0.0014591,              0.0014591,              0.0014591
                     65,                0.52165,                0.38482,                0.93391,                0.99579,                      1,                  0.995,                0.87489,                0.56031,                0.31532,                0.92616,              0.0014558,              0.0014558,              0.0014558
                     66,                0.49765,                0.36571,                0.93927,                0.99597,                      1,                  0.995,                0.86613,                0.57141,                0.33609,                0.93749,              0.0014525,              0.0014525,              0.0014525
                     67,                0.47501,                0.35371,                0.93162,                0.99417,                0.97059,                0.99361,                0.86436,                0.56895,                0.32608,                0.94007,              0.0014492,              0.0014492,              0.0014492
                     68,                0.50009,                 0.3675,                0.93881,                0.98079,                0.99162,                  0.995,                0.86428,                0.58201,                0.32571,                0.95813,              0.0014459,              0.0014459,              0.0014459
                     69,                0.52947,                0.37913,                0.94611,                0.98852,                0.99861,                  0.995,                0.87079,                0.58244,                0.33176,                0.94964,              0.0014426,              0.0014426,              0.0014426
                     70,                0.47913,                 0.3419,                0.92311,                0.98805,                      1,                  0.995,                0.88651,                0.53639,                0.33952,                0.90432,              0.0014393,              0.0014393,              0.0014393
                     71,                0.51731,                0.36556,                0.94022,                0.99113,                      1,                  0.995,                0.88505,                0.54932,                0.30406,                0.90258,               0.001436,               0.001436,               0.001436
                     72,                0.48509,                0.34553,                0.93825,                0.98762,                      1,                  0.995,                0.90088,                0.50792,                0.31798,                0.89278,              0.0014327,              0.0014327,              0.0014327
                     73,                0.47032,                0.34705,                0.93068,                0.99198,                0.99652,                  0.995,                0.87557,                0.56091,                0.29326,                0.92675,              0.0014294,              0.0014294,              0.0014294
                     74,                0.48379,                0.35393,                0.93075,                0.98689,                0.99084,                  0.995,                0.89058,                 0.5469,                0.32705,                0.92226,              0.0014261,              0.0014261,              0.0014261
                     75,                0.48671,                0.34632,                 0.9211,                0.99527,                      1,                  0.995,                0.89095,                0.53687,                0.28117,                0.90554,              0.0014228,              0.0014228,              0.0014228
                     76,                0.47154,                0.34119,                0.93562,                0.99547,                      1,                  0.995,                0.88503,                0.55755,                0.29993,                0.95392,              0.0014195,              0.0014195,              0.0014195
                     77,                0.48519,                0.34075,                0.92598,                0.99067,                0.99765,                  0.995,                0.89105,                0.55524,                0.32581,                0.94235,              0.0014161,              0.0014161,              0.0014161
                     78,                0.48627,                0.35756,                0.93174,                0.98436,                      1,                  0.995,                0.85804,                0.58717,                0.33089,                0.96102,              0.0014128,              0.0014128,              0.0014128
                     79,                0.47222,                0.35044,                0.92688,                0.98868,                      1,                  0.995,                  0.865,                0.58249,                0.32105,                0.96627,              0.0014095,              0.0014095,              0.0014095
                     80,                0.48645,                0.34943,                0.93848,                0.99272,                      1,                  0.995,                 0.8641,                0.58577,                0.30516,                0.95007,              0.0014062,              0.0014062,              0.0014062
                     81,                0.48784,                0.34906,                0.92635,                 0.9917,                0.99989,                  0.995,                0.87205,                0.53996,                0.29325,                0.90527,              0.0014029,              0.0014029,              0.0014029
                     82,                 0.4781,                0.34472,                0.92802,                0.99066,                0.99877,                  0.995,                0.88216,                0.52756,                0.28935,                 0.9128,              0.0013996,              0.0013996,              0.0013996
                     83,                0.46091,                0.32828,                0.92181,                0.99181,                 0.9994,                  0.995,                0.89939,                0.56275,                0.27888,                0.92586,              0.0013963,              0.0013963,              0.0013963
